Timestamp,Which meal are you giving feedback for? (Required for context),How would you rate the meal overall? (Required),Main Feedback: What did you like or dislike about the meal? (Required - Crucial for NLP analysis),"Specific Aspect Ratings (1=Poor, 5=Excellent) [Taste]","Specific Aspect Ratings (1=Poor, 5=Excellent) [Quantity]","Specific Aspect Ratings (1=Poor, 5=Excellent) [Hygiene]","Specific Aspect Ratings (1=Poor, 5=Excellent) [Service]","If you faced any specific issues (e.g., inadequate taste, quantity, hygiene, or timing), please describe them.",Any suggestions for improving the mess service overall?
2026/04/26 12:27:54 am GMT+5,Lunch,2,Taste,3,5,5,3,I faced an issue related to mess bill twice. I had to visit everyday for a week to get it fixed,Improve taste
2026/04/26 12:28:13 am GMT+5,Breakfast,5,,2,3,3,4,,
2026/04/26 12:28:28 am GMT+5,Lunch,2,the taste,2,4,2,3,"taste and hygiene
",proper chefs
2026/04/26 12:37:18 am GMT+5,Dinner,2,Majorly the chicken is not cooked well - to hard to break it - it should be cooked for longer time,1,3,4,5,"Taste is very inconsistent ,cooks should be trained to provide better tests especially when the options in the surrounding are limited ",ALA carte should be introduced with mess system - hybrid model and also the coffee machine 
2026/04/26 12:37:24 am GMT+5,Dinner,3,Please from shashlik from menu,3,3,2,1,,
2026/04/26 12:51:38 am GMT+5,Dinner,1,The hygiene in the mess hall is good the food needs to be better.,3,1,4,3,N/A,Improve overall quality.
2026/04/26 12:51:49 am GMT+5,Dinner,1,"Bill is too high, its hard to pay it for me.",5,1,5,2,N/A,Improve overall quality.
2026/04/26 12:52:02 am GMT+5,Breakfast,1,The hygiene in the mess hall is good the food needs to be better.,4,2,5,5,N/A,Improve overall quality.
2026/04/26 12:52:12 am GMT+5,Dinner,2,"Too oily today, I had to remove it myself but still it was too oily.",2,5,1,3,N/A,Improve overall quality.
2026/04/26 12:52:23 am GMT+5,,2,"We shall be allowed to take food outside the mess, especially for breakfast, I have to leave early for my classes and I can't eat in the mess.",1,3,3,3,N/A,Improve overall quality.
2026/04/26 12:52:34 am GMT+5,Lunch,1,Breakfast was fresh and the tea was perfect.,2,3,3,5,N/A,Improve overall quality.
2026/04/26 12:52:44 am GMT+5,Lunch,2,Breakfast was fresh and the tea was perfect.,5,3,5,4,N/A,Improve overall quality.
2026/04/26 12:52:55 am GMT+5,Breakfast,3,"Lunch and dinner shall be charged separately, I don't eat lunch but I have to pay for it.",1,1,3,4,N/A,Improve overall quality.
2026/04/26 12:53:05 am GMT+5,Breakfast,4,"There should be more meat, especially Beef and Mutton",2,2,3,5,N/A,Improve overall quality.
2026/04/26 12:53:15 am GMT+5,Lunch,2,"The food is too plain, it needs more flavor and variety.",1,2,3,5,N/A,Improve overall quality.
2026/04/26 12:53:26 am GMT+5,Dinner,3,The hygiene in the mess hall is good the food needs to be better.,4,2,3,5,N/A,Improve overall quality.
2026/04/26 12:53:37 am GMT+5,Breakfast,2,"Too oily today, I had to remove it myself but still it was too oily.",2,4,4,1,N/A,Improve overall quality.
2026/04/26 12:53:48 am GMT+5,Dinner,2,"Too oily today, I had to remove it myself but still it was too oily.",1,5,2,3,N/A,Improve overall quality.
2026/04/26 12:53:58 am GMT+5,Lunch,1,"The timings are a problem for me, especially for breakfast, It shall be till 10 at least on weeke",1,2,1,1,N/A,Improve overall quality.
2026/04/26 12:53:59 am GMT+5,Dinner,2,"It’s not a good meal overall. The dish combinations feel odd—for example, chicken with spinach doesn’t work well. The taste is generally poor, and the food is often not served hot. The roti is almost always not fresh. Also, the mess timing is too short; it should be extended from 7–9 PM to 7–10 PM.",2,5,1,2,"I had found hairs in my meal probably 3-4 times so the hygiene is definitely not their priority. Also the spoon and fork are not well washed, often times the lala in the mess is drying it with a dirty towel. 

The taste is also not good. Almost all the dishes tastes the same. I don’t know why but it is what it is.

The timing is very odd. At least in summer months when Isha is on 8:45 how can the mess be closed on 9. Please extend the timing.

The mess manager is also not a good person. His looks is like scanning you from top to bottom. He should be charged. The freshies feel harassed.","There should be strict policies about hygiene. The stuff should good with students. Like if we tell them to heat our food in the microwave they should do it happily, not saying that it is hot it doesn’t need to be heated again.

Every month we should get the chance to select the menu. Not same menu fonentire semester"
2026/04/26 12:54:09 am GMT+5,Dinner,3,"Bill is too high, its hard to pay it for me.",4,3,5,3,N/A,Improve overall quality.
2026/04/26 12:54:19 am GMT+5,Breakfast,3,"Staff's attitude was not good, they always seem to be in a hurry.",3,2,1,5,N/A,Improve overall quality.
2026/04/26 12:54:31 am GMT+5,Breakfast,3,"Lunch and dinner shall be charged separately, I don't eat lunch but I have to pay for it.",4,4,4,1,N/A,Improve overall quality.
2026/04/26 12:54:43 am GMT+5,Dinner,5,"We shall be allowed to take food outside the mess, especially for breakfast, I have to leave early for my classes and I can't eat in the mess.",1,4,5,2,N/A,Improve overall quality.
2026/04/26 12:54:53 am GMT+5,Breakfast,1,"Too oily today, I had to remove it myself but still it was too oily.",4,2,5,4,N/A,Improve overall quality.
2026/04/26 12:55:05 am GMT+5,Lunch,2,"Lunch and dinner shall be charged separately, I don't eat lunch but I have to pay for it.",4,5,2,4,N/A,Improve overall quality.
2026/04/26 12:58:56 am GMT+5,Breakfast,2,"Takeaway option should be allowed, especially for students with early schedules.",2,3,5,4,N/A,Improve overall quality.
2026/04/26 12:59:07 am GMT+5,Lunch,1,"I really enjoyed the breakfast, everything was fresh and tasty.",2,5,1,4,N/A,Improve overall quality.
2026/04/26 1:01:27 am GMT+5,Dinner,5,"I really enjoyed the breakfast, everything was fresh and tasty.",5,2,1,1,Trays and cutlery sometimes have soap residue.,Allow students to opt-out of specific meals to reduce waste.
2026/04/26 1:01:39 am GMT+5,Lunch,1,"We should be allowed to take food outside the mess, especially for breakfast since I have early classes and can’t sit and eat there.",2,1,5,4,"The fans are too slow, making the hall very hot in the afternoon.",Hire more staff during peak hours to manage the crowd.
2026/04/26 1:01:49 am GMT+5,Breakfast,5,"I don’t take lunch regularly but still get charged, billing should be separate.",2,3,3,1,None today.,Hire more staff during peak hours to manage the crowd.
2026/04/26 1:01:58 am GMT+5,Dinner,4,Mess staff often appear busy and don’t interact properly with students.,1,2,3,2,The queue management for rotis is very disorganized.,Provide a weekly menu update on a mobile app.
2026/04/26 1:02:09 am GMT+5,Lunch,1,"The attitude of the staff could be better, they don’t seem very friendly.",4,5,3,3,The seating area gets too crowded during peak lunch hours.,Introduce a digital feedback system inside the mess.
2026/04/26 1:02:18 am GMT+5,Breakfast,5,"Takeaway option should be allowed, especially for students with early schedules.",2,5,4,4,Napkins are rarely available on the tables.,Regular maintenance of the drinking water cooling system.
2026/04/26 1:02:27 am GMT+5,Dinner,3,The morning meal was fresh and the tea added to the experience.,5,5,3,4,"The fans are too slow, making the hall very hot in the afternoon.",Hire more staff during peak hours to manage the crowd.
2026/04/26 1:02:36 am GMT+5,Lunch,5,The mess charges are expensive and hard to pay regularly.,3,4,5,2,"The fans are too slow, making the hall very hot in the afternoon.",Regular maintenance of the drinking water cooling system.
2026/04/26 1:02:46 am GMT+5,Dinner,2,"The food lacks flavor and variety, it feels too bland.",2,4,3,5,The water dispensers are often empty or dirty.,Add more seasonal fruits to the breakfast menu.
2026/04/26 1:02:55 am GMT+5,Breakfast,5,Meat variety is limited; more beef and mutton should be included.,2,2,1,4,"The fans are too slow, making the hall very hot in the afternoon.",Switch to automated QR check-in as soon as possible.
2026/04/26 1:03:04 am GMT+5,Dinner,2,I find the mess fee too costly compared to the food quality.,2,3,5,3,The salt and pepper shakers are usually empty.,Improve the ventilation system in the main hall.
2026/04/26 1:03:12 am GMT+5,Dinner,5,Breakfast was quite fresh and the tea tasted really good.,5,1,1,4,None today.,Allow students to opt-out of specific meals to reduce waste.
2026/04/26 1:03:21 am GMT+5,Breakfast,5,"Protein options are less, more meat should be added.",2,5,1,2,The queue management for rotis is very disorganized.,Allow students to opt-out of specific meals to reduce waste.
2026/04/26 1:03:30 am GMT+5,Dinner,2,"I really enjoyed the breakfast, everything was fresh and tasty.",2,1,5,2,None today.,Include more spicy options or condiments on the side.
2026/04/26 1:03:39 am GMT+5,Breakfast,5,The current check-in system is slow; QR-based entry would be better.,1,3,4,5,Occasional long waits for fresh supplies of bread/paratha.,Regular maintenance of the drinking water cooling system.
2026/04/26 1:03:48 am GMT+5,Breakfast,5,"The meal timings don’t suit me, especially breakfast—it should be extended till at least 10 on weekends.",2,1,4,1,Hand wash area is often slippery and needs more cleaning.,Add more seasonal fruits to the breakfast menu.
2026/04/26 1:03:57 am GMT+5,Lunch,5,The system should allow separate billing for meals instead of a fixed charge.,5,1,2,2,"The fans are too slow, making the hall very hot in the afternoon.",Ensure consistent food temperature for latecomers.
2026/04/26 1:04:08 am GMT+5,Lunch,2,"Takeaway option should be allowed, especially for students with early schedules.",4,2,4,1,"The fans are too slow, making the hall very hot in the afternoon.",Allow students to opt-out of specific meals to reduce waste.
2026/04/26 1:04:17 am GMT+5,Dinner,1,"The food had too much oil today, even after trying to remove it, it was still greasy.",3,3,1,1,The salt and pepper shakers are usually empty.,Add more seasonal fruits to the breakfast menu.
2026/04/26 1:04:26 am GMT+5,Dinner,4,I find the mess fee too costly compared to the food quality.,1,1,1,1,Trays and cutlery sometimes have soap residue.,Allow students to opt-out of specific meals to reduce waste.
2026/04/26 1:18:30 am GMT+5,Dinner,1,"The mess is very inconsistent with dinners, majority of the times the food is completely bland with no flavour and it feel like it was cooked 3 days before serving. The salan with gravy is almost like salted water and the dinner served on Wednesday is disastrous.",1,3,2,2,Please change the Wednesday menu,"There needs to be more variety in the menu, add chapli kebab, custard, noodles , pastas stuff like the and please change the menu for Wednesday "
2026/04/26 1:35:17 am GMT+5,Lunch,2,,1,3,1,2,,
2026/04/26 2:43:21 am GMT+5,Breakfast,4,Sometimes it's too oily ,3,3,3,3,,
2026/04/26 4:13:34 am GMT+5,Breakfast,5,Quantity is less ,5,4,5,4,Inadequate taste,Taste should be improved 
2026/04/26 4:39:17 am GMT+5,Dinner,3,"There is always a chicken dish or chicken somewhere or someway in the dish, there is no meat dishes, neither in lunch nor dinner any day. ",3,4,2,4,Dinner should be allowed to be taken to rooms in own boxes. ,
2026/04/26 12:45:29 pm GMT+5,Dinner,4,"High protein , fulfilling , can be eaten for the rest of the day ",3,3,4,3,"The taste is often not good , use of masala , salt is less , its hygenic ",Please improve taste or hire a new chef 
2026/04/26 1:11:36 pm GMT+5,Dinner,4,Maza ni ata,3,2,3,2,Maa ke hath jesa taste ni ha,Improve this niggas
2026/04/26 1:15:31 pm GMT+5,Breakfast,4,It is hot and healthy. But i think its not cooked so well. ,4,5,4,4,I think all things are good but taste is compromised. ,Taste and hygiene could be better. 
2026/04/26 1:17:43 pm GMT+5,Dinner,3,-,3,3,3,4,No,-
2026/04/26 1:53:58 pm GMT+5,Lunch,2,Its taste could be improved.,2,3,3,3,I do not like the taste.,
2026/04/26 2:06:30 pm GMT+5,Breakfast,1,Poor taste in every breakfast and a slightly cold breakfast would taste even worse,1,4,3,2,,
2026/05/01 3:40:29 pm GMT+5,Dinner,5,"Manual entry creates long queues, a digital solution is needed.",5,3,5,4,The queue management for rotis is very disorganized.,Switch to automated QR check-in as soon as possible.
2026/05/01 3:40:40 pm GMT+5,Dinner,4,Lunch and dinner should be billed separately since I don’t usually eat lunch but still have to pay for it.,3,2,5,5,Napkins are rarely available on the tables.,Improve the ventilation system in the main hall.
2026/05/01 3:40:49 pm GMT+5,Dinner,1,"The meal timings don’t suit me, especially breakfast—it should be extended till at least 10 on weekends.",3,1,3,4,The seating area gets too crowded during peak lunch hours.,Improve the ventilation system in the main hall.
2026/05/01 3:40:59 pm GMT+5,Dinner,5,There should be a digital check-in system instead of manual registers.,1,3,1,1,Trays and cutlery sometimes have soap residue.,Allow students to opt-out of specific meals to reduce waste.
2026/05/01 3:41:08 pm GMT+5,Lunch,1,The meal felt heavy due to too much oil content.,2,1,1,3,None today.,Allow students to opt-out of specific meals to reduce waste.
2026/05/01 3:41:18 pm GMT+5,Lunch,5,The bill is on the higher side and difficult to justify.,3,3,4,1,The water dispensers are often empty or dirty.,Introduce a digital feedback system inside the mess.
2026/05/01 3:41:28 pm GMT+5,Dinner,1,"It’s unfair to pay for lunch when I don’t eat it, charges should be flexible.",5,4,1,5,Hand wash area is often slippery and needs more cleaning.,Regular maintenance of the drinking water cooling system.
2026/05/01 3:41:38 pm GMT+5,Dinner,2,The staff behavior isn’t very welcoming; they always look rushed.,2,5,5,4,Fly repellent fans aren't working in some corners.,Hire more staff during peak hours to manage the crowd.
2026/05/01 3:41:47 pm GMT+5,Lunch,4,"I really enjoyed the breakfast, everything was fresh and tasty.",3,3,4,3,The water dispensers are often empty or dirty.,Provide a weekly menu update on a mobile app.
2026/05/01 3:41:56 pm GMT+5,Dinner,5,Staff members seem impatient and are usually in a hurry.,1,4,4,2,Fly repellent fans aren't working in some corners.,Provide a weekly menu update on a mobile app.
2026/05/01 3:42:06 pm GMT+5,Dinner,1,"While the mess is hygienic, the food quality is not up to the mark.",1,3,2,3,The seating area gets too crowded during peak lunch hours.,Add more seasonal fruits to the breakfast menu.
2026/05/01 3:42:15 pm GMT+5,Dinner,5,"There should be flexibility to take food out of the mess, especially in the morning.",4,1,5,1,None today.,Allow students to opt-out of specific meals to reduce waste.
2026/05/01 3:42:23 pm GMT+5,Dinner,3,I find the mess fee too costly compared to the food quality.,5,2,2,1,Napkins are rarely available on the tables.,Regular maintenance of the drinking water cooling system.
2026/05/01 3:42:32 pm GMT+5,Lunch,5,"There should be flexibility to take food out of the mess, especially in the morning.",4,2,1,1,None today.,Improve the ventilation system in the main hall.
2026/05/01 3:42:42 pm GMT+5,Lunch,5,"It’s unfair to pay for lunch when I don’t eat it, charges should be flexible.",5,5,1,3,The water dispensers are often empty or dirty.,Ensure consistent food temperature for latecomers.
2026/05/01 3:42:51 pm GMT+5,Dinner,4,"I don’t take lunch regularly but still get charged, billing should be separate.",4,5,4,2,The water dispensers are often empty or dirty.,Improve the ventilation system in the main hall.
2026/05/01 3:42:59 pm GMT+5,Dinner,5,"I can’t always eat inside, takeaway facility should be available.",2,1,5,5,The queue management for rotis is very disorganized.,Introduce a digital feedback system inside the mess.
2026/05/01 3:43:07 pm GMT+5,Lunch,4,"The food lacks flavor and variety, it feels too bland.",3,4,3,4,"The fans are too slow, making the hall very hot in the afternoon.",Ensure consistent food temperature for latecomers.
2026/05/01 3:43:17 pm GMT+5,Breakfast,3,The mess bill feels too expensive and is difficult for me to manage.,4,3,2,5,"The fans are too slow, making the hall very hot in the afternoon.",Improve the ventilation system in the main hall.
2026/05/01 3:43:26 pm GMT+5,Lunch,2,Breakfast was satisfying and the tea was perfect.,3,4,3,5,Napkins are rarely available on the tables.,Ensure consistent food temperature for latecomers.
